05-25 13:06:09.465 192.168.1.31:54321    21156  FJ-1-7    INFO: {"_train":{"name":"frame_rdd_16_966b04fae881ae0ac72e366bec034e04","type":"Key"},"_valid":null,"_nfolds":0,"_keep_cross_validation_predictions":false,"_keep_cross_validation_fold_assignment":false,"_parallelize_cross_validation":true,"_auto_rebalance":true,"_seed":-1,"_fold_assignment":"AUTO","_categorical_encoding":"AUTO","_distribution":"AUTO","_tweedie_power":1.5,"_quantile_alpha":0.5,"_huber_alpha":0.9,"_ignored_columns":null,"_ignore_const_cols":true,"_weights_column":null,"_offset_column":null,"_fold_column":null,"_is_cv_model":false,"_score_each_iteration":false,"_max_runtime_secs":0.0,"_stopping_rounds":0,"_stopping_metric":"AUTO","_stopping_tolerance":0.001,"_response_column":null,"_balance_classes":false,"_max_after_balance_size":5.0,"_class_sampling_factors":null,"_max_confusion_matrix_size":20,"_checkpoint":null,"_pretrained_autoencoder":null,"_transform":"NONE","_k":8,"_init":"PlusPlus","_svd_method":"Power","_user_y":null,"_user_x":null,"_expand_user_y":true,"_loss":"Quadratic","_multi_loss":"Categorical","_period":1,"_loss_by_col":null,"_loss_by_col_idx":null,"_regularization_x":"L2","_regularization_y":"L1","_gamma_x":1.0,"_gamma_y":1.0,"_max_iterations":1000,"_max_updates":2000,"_init_step_size":1.0,"_min_step_size":1.0E-4,"_representation_name":null,"_recover_svd":false,"_impute_original":false,"_verbose":true}
05-25 13:06:09.469 192.168.1.31:54321    21156  FJ-1-7    INFO: Rebalancing train dataset into 4 chunks.
05-25 13:06:09.820 192.168.1.31:54321    21156  FJ-1-7    INFO: Building H2O KMeans model with these parameters:
05-25 13:06:09.832 192.168.1.31:54321    21156  FJ-1-7    INFO: {"_train":{"name":"frame_rdd_16_966b04fae881ae0ac72e366bec034e04","type":"Key"},"_valid":null,"_nfolds":0,"_keep_cross_validation_predictions":false,"_keep_cross_validation_fold_assignment":false,"_parallelize_cross_validation":true,"_auto_rebalance":true,"_seed":-7448857461936275874,"_fold_assignment":"AUTO","_categorical_encoding":"AUTO","_distribution":"AUTO","_tweedie_power":1.5,"_quantile_alpha":0.5,"_huber_alpha":0.9,"_ignored_columns":null,"_ignore_const_cols":true,"_weights_column":null,"_offset_column":null,"_fold_column":null,"_is_cv_model":false,"_score_each_iteration":false,"_max_runtime_secs":0.0,"_stopping_rounds":0,"_stopping_metric":"AUTO","_stopping_tolerance":0.001,"_response_column":null,"_balance_classes":false,"_max_after_balance_size":5.0,"_class_sampling_factors":null,"_max_confusion_matrix_size":20,"_checkpoint":null,"_pretrained_autoencoder":null,"_k":8,"_max_iterations":1000,"_standardize":true,"_init":"PlusPlus","_user_points":null,"_pred_indicator":true,"_estimate_k":false}
05-25 13:06:09.833 192.168.1.31:54321    21156  FJ-1-7    INFO: train dataset already contains 4 chunks. No need to rebalance.
05-25 13:06:10.004 192.168.1.31:54321    21156  FJ-1-7    INFO: Running Lloyds iteration for 8 centroids.
05-25 13:06:10.643 192.168.1.31:54321    21156  FJ-1-7    INFO: Lloyds converged after 27 iterations.
05-25 13:06:10.643 192.168.1.31:54321    21156  FJ-1-7    INFO: Relative improvement in total withinss: 1.0
05-25 13:06:10.738 192.168.1.31:54321    21156  FJ-1-7    INFO: Model Summary:
05-25 13:06:10.738 192.168.1.31:54321    21156  FJ-1-7    INFO:   Number of Rows  Number of Clusters  Number of Categorical Columns  Number of Iterations  Within Cluster Sum of Squares  Total Sum of Squares  Between Cluster Sum of Squares
05-25 13:06:10.738 192.168.1.31:54321    21156  FJ-1-7    INFO:             9843                   8                              0                    27                    95991.05321          147630.00000                     51638.94679
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO: Scoring History:
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:             Timestamp    Duration  Iteration  Number of Reassigned Observations  Within Cluster Sum Of Squares
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:09   0.578 sec          0                                NaN                            NaN
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   0.836 sec          1                             9843.0                   150953.28816
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   0.932 sec          2                             2225.0                   110253.93077
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   0.979 sec          3                             1572.0                   103685.07179
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.016 sec          4                             1081.0                    98867.19987
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.076 sec          5                              643.0                    97591.53976
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.106 sec          6                              410.0                    97121.51015
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.128 sec          7                              328.0                    96859.05202
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.142 sec          8                              268.0                    96666.46531
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.157 sec          9                              254.0                    96494.44980
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.169 sec         10                              212.0                    96334.79335
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.182 sec         11                              168.0                    96203.90397
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.197 sec         12                              127.0                    96139.73456
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.213 sec         13                              105.0                    96102.15695
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.228 sec         14                               88.0                    96070.83096
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.244 sec         15                               83.0                    96049.95280
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.258 sec         16                               71.0                    96033.11987
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.274 sec         17                               64.0                    96019.73207
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.287 sec         18                               55.0                    96007.83075
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.296 sec         19                               34.0                    95999.82356
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.304 sec         20                               24.0                    95996.71865
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.314 sec         21                               17.0                    95993.93697
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.324 sec         22                               16.0                    95992.82785
05-25 13:06:11.288 192.168.1.31:54321    21156  FJ-1-7    INFO:   2017-05-25 13:06:10   1.338 sec         23                               13.0                    95991.67605
